purpose,priority
Оплата по выставленному счету в том числе НДС,1
НДС за 2 квартал 2023 49435,3
Срочный: Платеж за поставку канцтоваров 3352,5
Взыскание алиментов по исп. листу 95684 (РАО «Соловьева»),1
Срочный: Взыскание алиментов по исп. листу 68709 от 20.06.2024,1
Взыскание алиментов по исп. листу 13810 без НДС (ИП «Кузнецов»),1
Срочный: Оплата банковских услуг 34350,5
Уплата транспортного налога 17285 от 14.10.2024 от 20.10.2024 Коралловый,3
Оплата услуг охраны 67711 от 20.09.2024,5
Оплата услуг охраны 62804 Серый от 17.06.2024 от 05.11.2024,5
"ЕНВД за отчетный период 92485, ИНН 788331020830, ИНН 222772903252 от 21.12.2024",3
Страховые взносы в ПФР по квитанции 20642 (основание: договор 813) (ОАО «Евсеев-Михеев»),3
Платеж за проведение тренинга 68729 Каштановый (Рено Россия (Renault)),5
Срочный: ПЛАТЕЖНОЕ ПОРУЧЕНИЕ НА НАЛОГ НА ПРИБЫЛЬ 16501 (ОСНОВАНИЕ: ДОГОВОР 582),3
"Оплата услуг связи по договору 28316, ИНН 602406463269",5
Оплата хостинга за Июль 58861 (ОАО «Кудрявцев-Муравьев») без НДС,5
Платеж за юридические услуги 12557 от 17.07.2024,5
Срочный: Платеж за юридические услуги 17297,5
Срочный: УСН платеж 79961,3
"Платежное поручение на налог на прибыль 18956, ИНН 633910947526 Серый",3
Перечисление за аренду оборудования 38314 Индиго,5
Перечисление НДФЛ за сотрудников по платежке 41478 без НДС,3
"Налоговый платеж в бюджет РФ №80738, ИНН 734457369336",3
Налог на имущество организаций 23372 Цвет морской волны,3
Платеж за проведение тренинга 70916 от 25.01.2025 (основание: договор 169) (основание: договор 533),5
"Срочный: Оплата банковских услуг 13688 без НДС, ИНН 910884527011",5
Срочный: Налог на имущество организаций 56259 (РАО «Алексеев Костина»),3
Перечисление за программное обеспечение 1951 (РАО «Пономарева»),5
ОПЛАТА РЕКЛАМНЫХ УСЛУГ 30814,5
ФСС: отчисления на травматизм 17147 Цвет морской волны,3
"Оплата банковских услуг 45012, ИНН 800247508001",5
Срочный: Пенсионные взносы за Июль 2023 76721,3
Оплата банковских услуг 89858 с НДС Аквамарин,5
Срочный: Перечисление за аренду оборудования 11181 (НПО «Ситников Потапова»),5
УСН платеж 36149 (основание: договор 714),3
Перечисление НДФЛ за сотрудников по перечислениеке 39955 Оранжево-красный,3
СРОЧНЫЙ: ПЛАТЕЖ ЗА ПРОВЕДЕНИЕ ТРЕНИНГА 27925,5
"Оплата банковских услуг 36514 (НПО «Михеев-Ефимова») с НДС, ИНН 577411030763",5
ОПЛАТА РЕКЛАМНЫХ УСЛУГ 92453,5
"Перечисление средств по исп. документу 73775 о возмещении вреда жизни от 04.03.2025, ИНН 230680527731",1
"СРОЧНЫЙ: ПЕРЕЧИСЛЕНИЕ НДФЛ ЗА СОТРУДНИКОВ ПО ПЛАТЕЖКЕ 90182, ИНН 870742560740",3
Налоговый платеж в бюджет РФ №97566 от 16.12.2024,3
ЕНВД ЗА ОТЧЕТНЫЙ ПЕРИОД 84404 Темный хаки,3
Возврат займа контрагенту 6708 Индиго (основание: договор 365),5
Уплата транспортного налога 41027 от 25.03.2025,3
Возврат займа контрагенту 90505,5
Срочный: Платеж за поставку канцтоваров 72030 (основание: договор 749) без НДС,5
ПЛАТЕЖНОЕ ПОРУЧЕНИЕ НА НАЛОГ НА ПРИБЫЛЬ 51485 (ОАО «ГОРШКОВА») С НДС,3
ОПЛАТА УСЛУГ СВЯЗИ ПО ДОГОВОРУ 82857,5
"МЕДИЦИНСКАЯ КОМПЕНСАЦИЯ ПО СУДЕБНОМУ РЕШЕНИЮ 7370 (ОАО «ТУРОВА»), ИНН 573852325286",1
ТАМОЖЕННЫЕ ПЛАТЕЖИ ПО ДЕКЛАРАЦИИ 97823 с НДС,3
"Срочный: Пенсионные взносы за Июль 2023 30837 (основание: договор 805), ИНН 655866239827",3
"Оплата хостинга за Июль 76181 от 03.01.2025 (Дроздова Лтд), ИНН 718850334189",5
"Оплата банковских услуг 26747 (РАО «Соколов Турова») Белый, ИНН 202575906452",5
"Срочный: Оплата хостинга за Июль 54773, ИНН 245685424525, ИНН 351270860880",5
"Срочный: ИСПОЛНИТЕЛЬНЫЙ ЛИСТ №89488 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ, ИНН 289236289449",1
Перечисление за программное обеспечение 8214 с НДС (ООО «Молчанова Сергеева») (основание: договор 350),5
"Оплата банковских услуг 7254 (основание: договор 653), ИНН 582919449130",5
"Перевод средств по заказу 13.04.2025 РАО «Воробьева, Сазонова и Пахомова»",3
"ПЕРЕЧИСЛЕНИЕ ЗА ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ 16314, ИНН 397241521440",5
Благотворительное пожертвование 18732 Оранжевый,5
Земельный налог 50018 Темно-синий,3
"Исполнительный лист №80701 о возмещении вреда здоровью (основание: договор 626) (ОАО «Фомичев, Максимова и Михайлов»)",1
Исполнительный лист №17725 о возмещении вреда здоровью с НДС,1
Пенсионные отчисления за Июль 2023 49863 (основание: договор 377),3
Срочный: Оплата командировочных расходов 60077 (ЗАО «Новиков Капустина») от 16.11.2024,5
Оплата банковских услуг 95345,5
"Срочный: Налоговый платеж в бюджет РФ №10012, ИНН 838309391539",3
Медицинская компенсация по судебному решению 50331 от 17.07.2024,1
Исполнительное производство 79033 о возмещении вреда здоровью Сине-фиолетовый,1
ЕНВД ЗА ОТЧЕТНЫЙ ПЕРИОД 91789 БЕЗ НДС Светло-голубой,3
"Платеж по страховому случаю 13301 (вред здоровью), ИНН 202492599563 (основание: договор 767) (Ермаков Инк)",1
Благотворительное пожертвование 27385 Светло-серый (основание: договор 664),5
"Срочный: Оплата командировочных расходов 28021, ИНН 159958986433 Розовато-лавандовый",5
Оплата услуг охраны 81506 Оранжево-красный,5
Срочный: Платеж за уборку помещений 12347 Светло-голубой,5
ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОБОРУДОВАНИЯ 20311,5
Взыскание алиментов по исп. листу 669 (Зайцев Инк),1
Страховые взносы в ПФР по квитанции 18260 от 17.08.2024,3
"Перечисление за аренду офиса 98264 Бледно-зеленый, ИНН 782953214289",5
"Компенсация морального вреда по решению суда 11331 (ООО «Лебедев, Котов и Борисова») Сине-фиолетовый",1
"Оплата хостинга за Июль 85059, ИНН 855959082159 (основание: договор 679) (основание: договор 745)",5
"УСН перечисление 39149, ИНН 340185156217 Светло-голубой",3
Оплата услуг охраны 67721 Светло-синий (основание: договор 891) без НДС,5
Перевод средств за услуги БИК 977539664 с НДС,3
Страховые отчисления в ПФР по квитанции 48170 (основание: договор 465),3
ВОЗВРАТ ЗАЙМА КОНТРАГЕНТУ 42973 Каштановый,5
"Оплата рекламных услуг 81481, ИНН 921650039050",5
ОПЛАТА ХОСТИНГА ЗА ИЮЛЬ 40009 БЕЗ НДС,5
"Медицинская компенсация по судебному решению 41478, ИНН 261238448874 от 09.06.2024",1
"Срочный: Платеж за поставку канцтоваров 98948, ИНН 869724689661, ИНН 646762661706",5
ЕНВД за отчетный период 14966 (Борисова Групп),3
Уплата транспортного налога 60736 (основание: договор 421),3
Перечисление за аренду офиса 49679 (основание: договор 830) (АО «Емельянова-Гуляева») (АО «Козлов»),5
Оплата услуг связи по договору 3830 от 01.07.2024 (основание: договор 977),5
Срочный: Возмещение ущерба здоровью по исп. листу 51219,1
"Водный налог 52428, ИНН 561202853892",3
Срочный: Срочный: Уплата транспортного налога 30343,3
"Платеж за юридические услуги 83398, ИНН 332527092920, ИНН 351987937770",5
Срочный: Оплата банковских услуг 47975 от 28.09.2024 (НПО «Родионова»),5
Оплата хостинга за Июль 56710 (основание: договор 816) (основание: договор 867),5
"Благотворительное пожертвование 16191, ИНН 941707885202",5
Срочный: Перечисление за аренду офиса 4546,5
УСН платеж 41033 (основание: договор 219),3
Водный налог 9385 Бежевый,3
ВЗЫСКАНИЕ АЛИМЕНТОВ ПО ИСП. ЛИСТУ 37606 с НДС,1
Оплата услуг охраны 92784 с НДС,5
"Компенсация морального вреда по решению суда 33782 (РАО «Сорокина, Терентьева и Романова»)",1
Оплата рекламных услуг 99855 (основание: договор 219),5
Возврат займа контрагенту 54012 от 13.09.2024 без НДС,5
"ФСС: отчисления на травматизм 9205, ИНН 131090325599",3
Срочный: Оплата командировочных расходов 68936 (Сидорова и партнеры),5
Благотворительное пожертвование 60366 (Суханов Инкорпорэйтед),5
НДС за 2 квартал 2023 35247 Античный Белый,3
Платеж за проведение тренинга 84138 (Сталепромышленная компания),5
Перечисление за программное обеспечение 66746 (АО «Лихачев»),5
Медицинская компенсация по судебному решению 99932 (основание: договор 889) (основание: договор 374),1
"ТАМОЖЕННЫЕ ПЛАТЕЖИ ПО ДЕКЛАРАЦИИ 54499 БЕЗ НДС, ИНН 550649743195",3
Возврат займа контрагенту 52323 (основание: договор 948),5
Срочный: Срочный: Водный налог 57534,3
Платеж за проведение тренинга 82836 (основание: договор 127) Лазурный Ярко-розовый,5
"ФСС: взносы на травматизм 8843 с НДС, ИНН 736655704732 от 21.02.2025",3
Взыскание алиментов по исп. листу 29928 без НДС,1
Оплата рекламных услуг 9713 (АО «Суханова») (основание: договор 866),5
СРОЧНЫЙ: ПЕРЕЧИСЛЕНИЕ СРЕДСТВ ПО ИСП. ДОКУМЕНТУ 46145 О ВОЗМЕЩЕНИИ ВРЕДА ЖИЗНИ,1
Оплата рекламных услуг 41517 от 11.06.2024,5
Срочный: ОПЛАТА ХОСТИНГА ЗА ИЮЛЬ 9158,5
Оплата командировочных расходов 66358 (основание: договор 540),5
Оплата по договору КПП 318824635 44755,1
Оплата услуг охраны 3640 Темно-голубой,5
"Платеж по страховому случаю 77542 (вред здоровью), ИНН 807815783505 (основание: договор 694)",1
Срочный: Уплата транспортного налога 9991,3
Оплата хостинга за Июль 28868 от 05.07.2024 (ИП «Баранов-Рожкова»),5
ОПЛАТА ХОСТИНГА ЗА ИЮЛЬ 90660 БЕЗ НДС (основание: договор 145),5
ФСС: взносы на травматизм 93800 Лазурный,3
Срочный: Уплата транспортного налога 93480,3
Доплата за работу с НДС,5
"ВОДНЫЙ НАЛОГ 57389 (основание: договор 787), ИНН 425856522225",3
ПЕРЕЧИСЛЕНИЕ СРЕДСТВ ПО ИСП. ДОКУМЕНТУ 92906 О ВОЗМЕЩЕНИИ ВРЕДА ЖИЗНИ (основание: договор 243) Слоновая кость,1
ВЗЫСКАНИЕ АЛИМЕНТОВ ПО ИСП. ЛИСТУ 92407 ОТ 15.12.2024 РОЗОВЫЙ,1
Оплата банковских услуг 96800 (основание: договор 112),5
"ФСС: отчисления на травматизм 68830, ИНН 978411786222",3
Перечисление за аренду офиса 31961 без НДС с НДС,5
"Платеж за юридические услуги 80372, ИНН 974243272062 (ОАО «Баранов»)",5
Платеж за юридические услуги 85749 с НДС,5
Срочный: Оплата услуг связи по договору 30259 (основание: договор 700),5
Водный налог 23612 с НДС от 12.10.2024 (ИП «Ситников-Меркушев»),3
Срочный: Возмещение ущерба здоровью по исп. листу 43146 с НДС (основание: договор 814),1
"Водный налог 5569 (основание: договор 918), ИНН 785984283934",3
Срочный: Водный налог 36463,3
Срочный: ПЕРЕЧИСЛЕНИЕ ЗА ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ 21859 (НИКОЛАЕВ ЛИМИТЕД),5
Страховые отчисления в ПФР по квитанции 80230 без НДС,3
Оплата банковских услуг 87196 без НДС,5
УСН перечисление 63554,3
СРОЧНЫЙ: ВОЗВРАТ ЗАЙМА КОНТРАГЕНТУ 53204,5
Срочный: Срочный: Перечисление НДФЛ за сотрудников по перечислениеке 33736,3
ВОЗМЕЩЕНИЕ УЩЕРБА ЗДОРОВЬЮ ПО ИСП. ЛИСТУ 73140 БЕЗ НДС,1
ФСС: отчисления на травматизм 73367,3
Срочный: НАЛОГОВЫЙ ПЛАТЕЖ В БЮДЖЕТ РФ №86967 от 13.02.2025,3
Перечисление за программное обеспечение 38905 Васильковый Сливовый,5
"Возмещение ущерба здоровью по исп. листу 39570, ИНН 845513703140",1
ФСС: отчисления на травматизм 56236 с НДС,3
Срочный: ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОФИСА 55327,5
ЕНВД ЗА ОТЧЕТНЫЙ ПЕРИОД 68382 Малиновый,3
Благотворительное пожертвование 25457 (НПО «Уваров Константинова»),5
Срочный: ОПЛАТА РЕКЛАМНЫХ УСЛУГ 85562 (основание: договор 488),5
Оплата услуг связи по договору 73784 (основание: договор 483),5
Срочный: ПЕРЕЧИСЛЕНИЕ СРЕДСТВ ПО ИСП. ДОКУМЕНТУ 97084 О ВОЗМЕЩЕНИИ ВРЕДА ЖИЗНИ с НДС,1
УСН перечисление 63685,3
Оплата услуг связи по договору 88194 (АО «Никонова Кузнецова») (ООО «Рогова»),5
ФСС: взносы на травматизм 52013 Синий,3
Срочный: Возврат займа контрагенту 60555 с НДС,5
"Налоговый платеж в бюджет РФ №25000 (основание: договор 269), ИНН 821093582009",3
"Оплата командировочных расходов 96877, ИНН 481411559147 от 11.02.2025 Белый",5
Уплата транспортного налога 10877 без НДС,3
ОПЛАТА ХОСТИНГА ЗА ИЮЛЬ 1199,5
Платеж за поставку канцтоваров 89626 (РАО «Власов») (основание: договор 946),5
"Водный налог 46336 Золотой, ИНН 143384041286",3
Срочный: Возврат займа контрагенту 93679 (основание: договор 344) с НДС,5
Оплата рекламных услуг 2722 Тусклый серый,5
Перечисление НДФЛ за сотрудников по перечислениеке 94993 Бледно-зеленый,3
"СРОЧНЫЙ: ОПЛАТА УСЛУГ СВЯЗИ ПО ДОГОВОРУ 80809, ИНН 605225218716",5
Перечисление за программное обеспечение 8416 от 14.04.2025 без НДС,5
Оплата рекламных услуг 86821 (основание: договор 850),5
"ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОФИСА 70464, ИНН 277754432554",5
Оплата банковских услуг 11691 от 30.09.2024 от 29.05.2025 (основание: договор 928),5
Оплата рекламных услуг 69315 от 15.11.2024 от 02.03.2025,5
ИСПОЛНИТЕЛЬНЫЙ ЛИСТ №41640 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ,1
Оплата по договору без НДС ИНН 779209555633,5
Срочный: ПЕРЕЧИСЛЕНИЕ ЗА ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ 76136,5
"Срочный: ИСПОЛНИТЕЛЬНЫЙ ЛИСТ №19216 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ, ИНН 755165631447",1
Возврат займа контрагенту 28894 (основание: договор 407) от 16.11.2024,5
Благотворительное пожертвование 25535 от 05.08.2024 (основание: договор 356),5
"НАЛОГОВЫЙ ПЛАТЕЖ В БЮДЖЕТ РФ №39267, ИНН 933190334674 С НДС",3
Медицинская компенсация по судебному решению 846 Сине-фиолетовый,1
Перечисление за аренду оборудования 31464 от 10.09.2024,5
ВОДНЫЙ НАЛОГ 52534 С НДС (ТИНЬКОФФ БАНК),3
Оплата хостинга за Июль 90625 Темно-красный от 09.02.2025 без НДС,5
СРОЧНЫЙ: УСН ПЛАТЕЖ 62408 ОТ 24.01.2025,3
Срочный: Земельный налог 43833 Темно-серый,3
Платеж за проведение тренинга 48856 Слоновая кость с НДС,5
Платеж по страховому случаю 84199 (вред здоровью) Светло-серый (основание: договор 325) (ООО «Романова»),1
ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОФИСА 63339 (ОСНОВАНИЕ: ДОГОВОР 200) (основание: договор 297),5
Срочный: Платеж за проведение тренинга 37570 (ИП «Комиссарова Морозова»),5
Благотворительное пожертвование 33583 от 11.04.2025 Светло-синий,5
"ПЛАТЕЖ ЗА ПОСТАВКУ КАНЦТОВАРОВ 575, ИНН 924295260150 (основание: договор 178)",5
Оплата рекламных услуг 81744 Васильковый (основание: договор 972),5
Оплата услуг связи по договору 7773 Темно-зеленый,5
Оплата хостинга за Июль 92148 от 18.10.2024,5
Платеж за проведение тренинга 59825 (Уральские авиалинии),5
Срочный: Медицинская компенсация по судебному решению 3697 от 16.01.2025 от 01.10.2024,1
Налог на имущество организаций 6396 без НДС,3
Благотворительное пожертвование 97545 (основание: договор 201),5
Перевод средств по договору в соответствии с договором срочно,1
НДС за 2 квартал 2023 68267 Хаки от 26.12.2024,3
Земельный налог 47774 (РАО «Богданова Ефимова») с НДС,3
Платеж за уборку помещений 37360 Фиолетовый,5
Налог на имущество организаций 48459 (ЗАО «Александров-Князева») с НДС с НДС,3
Благотворительное пожертвование 48895 (ЗАО «Миронова») (ЗАО «Родионова»),5
"ФСС: взносы на травматизм 93661, ИНН 788640955313 (РАО «Костина Баранова»)",3
"ЕНВД за отчетный период 38632 без НДС, ИНН 398466540476",3
"Срочный: Срочный: Платеж за проведение тренинга 6133 (НПО «Якушев, Яковлева и Анисимов»)",5
Взыскание алиментов по исп. листу 20360 от 23.10.2024 (РАО «Петухов»),1
Срочный: Возврат займа контрагенту 40486 (основание: договор 843),5
Платеж за проведение тренинга 94233 от 16.02.2025 (основание: договор 417),5
Срочный: Платеж за уборку помещений 5072,5
"Компенсация морального вреда по решению суда 56607 (АО «Степанова, Быкова и Кулаков»)",1
Платеж за уборку помещений 6820 (Башкирэнерго),5
Исполнительное производство 71884 о возмещении вреда здоровью (ИП «Бурова-Горбунов»),1
СРОЧНЫЙ: БЛАГОТВОРИТЕЛЬНОЕ ПОЖЕРТВОВАНИЕ 22225 БЕЗ НДС,5
"УСН платеж 97151 без НДС, ИНН 243211576397 без НДС",3
"Страховые взносы в ПФР по квитанции 16554, ИНН 343217295179 Фиолетовый",3
Уплата транспортного налога 58252 Черный,3
Перечисление за программное обеспечение 43939 (ЗАО «Туров-Журавлев») (основание: договор 910),5
Срочный: Оплата услуг связи по договору 10815,5
ЕНВД за отчетный период 15138 с НДС,3
ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОБОРУДОВАНИЯ 78560 с НДС,5
"Срочный: Перечисление за аренду офиса 20541 (АО «Новиков Игнатьев»), ИНН 159120375684",5
Уплата транспортного налога 98623 без НДС,3
"ПЛАТЕЖ ЗА ПРОВЕДЕНИЕ ТРЕНИНГА 43083, ИНН 768346763577",5
Срочный: Оплата услуг охраны 54976,5
Исполнительное производство 90627 о возмещении вреда здоровью (основание: договор 892),1
Платеж за юридические услуги 95977 (НПО «Пахомова») от 05.11.2024 Светло-голубой,5
Возврат займа контрагенту 84229 Темно-синий (основание: договор 716),5
Возврат по счету КПП 615419164 БИК 693494922,5
Срочный: Платеж за уборку помещений 82935,5
Возврат займа контрагенту 45632 без НДС,5
Оплата командировочных расходов 86037,5
Платеж за поставку канцтоваров 32710 без НДС (основание: договор 853) (Ершова и партнеры),5
ФСС: взносы на травматизм 47137 от 15.02.2025 от 24.01.2025 без НДС,3
Срочный: Перечисление за программное обеспечение 97279 (основание: договор 586) без НДС,5
"ИСПОЛНИТЕЛЬНЫЙ ЛИСТ №12735 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ (ООО «ГЕРАСИМОВ-МИШИНА»), ИНН 895497634297",1
НДС за 2 квартал 2023 57799 Слоновая кость с НДС Фуксия,3
Налог на имущество организаций 40641 Бежевый,3
НДС за 2 квартал 2023 85437,3
ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОФИСА 61511,5
Оплата командировочных расходов 43261 (АО «Попова Фомина») от 10.09.2024,5
"Оплата услуг охраны 39829, ИНН 405286148173, ИНН 314472611378 (АО «Киселева, Мартынова и Антонова»)",5
Срочный: Перечисление за аренду офиса 99278 Шоколадный,5
Платеж по накладной неотложный платеж с НДС,5
СТРАХОВЫЕ ВЗНОСЫ В ПФР ПО КВИТАНЦИИ 14005,3
Срочный: Оплата услуг охраны 84490,5
Перечисление за программное обеспечение 81021,5
"Оплата хостинга за Июль 45212, ИНН 640175172445",5
Срочный: ИСПОЛНИТЕЛЬНОЕ ПРОИЗВОДСТВО 37757 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ (основание: договор 271),1
Оплата услуг связи по договору 55297 Синий,5
Оплата услуг охраны 84119 (основание: договор 559),5
Перечисление за аренду оборудования 3138 без НДС (основание: договор 501) (основание: договор 230),5
ПЕРЕЧИСЛЕНИЕ НДФЛ ЗА СОТРУДНИКОВ ПО ПЛАТЕЖКЕ 59675 (НПО «СОКОЛОВ ЛИХАЧЕВ») (Рожкова Групп),3
"Оплата хостинга за Июль 99858, ИНН 388149269939",5
Срочный: Таможенные перечислениеи по декларации 55019,3
"Возврат по заказу ИНН 740243767308 АО «Мухин, Наумов и Сафонов»",5
Срочный: Платеж за поставку канцтоваров 44132 (Лапин Инк) от 20.07.2024,5
НАЛОГ НА ИМУЩЕСТВО ОРГАНИЗАЦИЙ 57355,3
Срочный: Возмещение ущерба здоровью по исп. листу 59045 (основание: договор 683),1
Пенсионные отчисления за Июль 2023 64388 от 15.01.2025,3
Возврат займа контрагенту 8876 (основание: договор 105),5
Водный налог 49963 с НДС с НДС,3
Перечисление средств по исп. документу 29679 о возмещении вреда жизни от 31.05.2024,1
Срочный: Пенсионные взносы за Июль 2023 16950,3
Перечисление за аренду офиса 53330 (ОАО «Давыдов-Логинов»),5
ЕНВД за отчетный период 20010 (Технониколь),3
Срочный: Оплата рекламных услуг 59029 (основание: договор 362) (АО «Шарапов-Белоусов»),5
Исполнительное производство 9421 о возмещении вреда здоровью Темно-серый,1
Благотворительное пожертвование 96964 (НПО «Федотова-Михайлова»),5
Водный налог 27584 (Ямал СПГ) (АО «Фокин Молчанова»),3
МЕДИЦИНСКАЯ КОМПЕНСАЦИЯ ПО СУДЕБНОМУ РЕШЕНИЮ 56831 (ГУРЬЕВ ЛТД) без НДС,1
ИСПОЛНИТЕЛЬНЫЙ ЛИСТ №22971 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ,1
Компенсация морального вреда по решению суда 23875 (Гознак),1
ПЛАТЕЖ ЗА УБОРКУ ПОМЕЩЕНИЙ 62715,5
Платеж по страховому случаю 17215 (вред здоровью) от 08.01.2025,1
Срочный: Уплата транспортного налога 80597,3
Оплата хостинга за Июль 55416 от 04.12.2024,5
Компенсация по соглашению в соответствии с договором,5
ИСПОЛНИТЕЛЬНОЕ ПРОИЗВОДСТВО 72957 О ВОЗМЕЩЕНИИ ВРЕДА ЗДОРОВЬЮ Коралловый,1
"Оплата командировочных расходов 51729 (ФК Пульс), ИНН 418845520887 Цвет морской волны",5
ЕНВД за отчетный период 68948 (основание: договор 398) с НДС,3
Оплата услуг связи по договору 19319,5
Перечисление за аренду офиса 15448 Темно-фиолетовый,5
Перечисление НДФЛ за сотрудников по платежке 51169 Темно-фиолетовый,3
Взыскание алиментов по исп. листу 29300 от 17.11.2024 (основание: договор 349) с НДС,1
ПЛАТЕЖ ЗА ПРОВЕДЕНИЕ ТРЕНИНГА 8823 без НДС Бледно-зеленый,5
"Медицинская компенсация по судебному решению 63496 (АО «Семенов, Смирнов и Красильников»)",1
Перечисление за аренду оборудования 65156 (АО «Исакова-Абрамова») от 09.06.2024,5
Налоговый платеж в бюджет РФ №45130 с НДС,3
Платежное поручение на налог на прибыль 55849 с НДС,3
Перечисление НДФЛ за сотрудников по перечислениеке 45675 от 11.04.2025,3
Срочный: Оплата услуг связи по договору 27038 (Первый завод),5
Срочный: Платежное поручение на налог на прибыль 78929,3
Исполнительный лист №83496 о возмещении вреда здоровью (Горшков Инк),1
Таможенные платежи по декларации 76657 (основание: договор 482),3
Уплата транспортного налога 71912 (основание: договор 563) (Костина Лимитед),3
"Оплата банковских услуг 17786, ИНН 887020122195",5
Налог на имущество организаций 71734 Зеленый,3
Оплата услуг охраны 94714 (основание: договор 558) Васильковый без НДС,5
Платеж за юридические услуги 83937,5
ФСС: взносы на травматизм 32988 Темно-розовый,3
Страховые отчисления в ПФР по квитанции 88946 Синий,3
Водный налог 37177 без НДС (основание: договор 223) (РАО «Иванова Бобылева»),3
"Платеж за проведение тренинга 91073, ИНН 347165147983",5
Срочный: Налог на имущество организаций 6015 Светло-розовый,3
ФСС: взносы на травматизм 47383 (основание: договор 249) без НДС,3
Срочный: Платеж за юридические услуги 85525 Шоколадный,5
Перечисление средств по исп. документу 7859 о возмещении вреда жизни Бледно-зеленый с НДС,1
Платежное поручение на налог на прибыль 28595 от 16.04.2025,3
УСН платеж 59737 от 30.05.2025 с НДС,3
Страховые взносы в ПФР по квитанции 81358 (основание: договор 619),3
"Водный налог 95795, ИНН 486924762265 (основание: договор 871)",3
ПЛАТЕЖ ПО СТРАХОВОМУ СЛУЧАЮ 93401 (ВРЕД ЗДОРОВЬЮ) ШОКОЛАДНЫЙ,1
"Платеж за уборку помещений 55926 (АО «Владимиров, Лукин и Гущина»)",5
СРОЧНЫЙ: ПЛАТЕЖНОЕ ПОРУЧЕНИЕ НА НАЛОГ НА ПРИБЫЛЬ 86116,3
ПЛАТЕЖ ЗА ЮРИДИЧЕСКИЕ УСЛУГИ 77159 (ОСНОВАНИЕ: ДОГОВОР 250),5
Доплата по договору 07.05.2025 в соответствии с договором,1
Срочный: Перечисление за аренду офиса 84611 Зеленый,5
"ПЛАТЕЖ ЗА УБОРКУ ПОМЕЩЕНИЙ 57648, ИНН 671914893645 (основание: договор 791)",5
Уплата транспортного налога 67359 (основание: договор 616),3
Пенсионные взносы за Июль 2023 48725 Темно-фиолетовый (РАО «Белов-Симонов»),3
Перечисление по счету в том числе НДС ИНН 676567460727,3
"Исполнительный лист №74873 о возмещении вреда здоровью (основание: договор 991) (ОАО «Романов-Антонова»), ИНН 654624015605",1
Срочный: Таможенные платежи по декларации 45472 Светло-зеленый от 15.03.2025,3
Оплата услуг охраны 21811 (Втормет) от 30.03.2025,5
Налог на имущество организаций 88347 (НПО «Ильин»),3
"Перечисление средств по исп. документу 93360 о возмещении вреда жизни, ИНН 772059227605",1
Срочный: Перечисление за аренду оборудования 27997,5
Срочный: ЕНВД за отчетный период 7266 (Белякова Групп) (НПО «Гусева»),3
МЕДИЦИНСКАЯ КОМПЕНСАЦИЯ ПО СУДЕБНОМУ РЕШЕНИЮ 28802 без НДС без НДС,1
КОМПЕНСАЦИЯ МОРАЛЬНОГО ВРЕДА ПО РЕШЕНИЮ СУДА 20187 от 18.05.2025,1
Срочный: ВОЗВРАТ ЗАЙМА КОНТРАГЕНТУ 1552,5
Срочный: Перечисление за аренду офиса 11201 (основание: договор 955) (ОАО «Симонова Кудрявцев»),5
"Оплата услуг охраны 64327 от 01.08.2024, ИНН 790007290135, ИНН 891093201469",5
Перевод средств за услуги в том числе НДС без НДС,5
"Земельный налог 61551, ИНН 832521026353",3
Компенсация по счету КПП 575242249 27790,3
КОМПЕНСАЦИЯ МОРАЛЬНОГО ВРЕДА ПО РЕШЕНИЮ СУДА 42707,1
Срочный: Таможенные платежи по декларации 83465 (основание: договор 914),3
Оплата хостинга за Июль 26717 от 16.08.2024,5
Страховые взносы в ПФР по квитанции 43704 Синий (основание: договор 790),3
НДС за 2 квартал 2023 26355 без НДС,3
"Платежное поручение на налог на прибыль 35315 (ЗАО «Сафонов, Мамонтов и Лебедев») (Hoff (Домашний интерьер))",3
СРОЧНЫЙ: ПЛАТЕЖ ЗА УБОРКУ ПОМЕЩЕНИЙ 15387 (НПО «УВАРОВА МАМОНТОВА»),5
ПЕРЕЧИСЛЕНИЕ ЗА АРЕНДУ ОФИСА 13006 С НДС,5
Благотворительное пожертвование 54744 (ОАО «Семенов Евсеев») (ОАО «Зыков»),5
ЕНВД за отчетный период 88332 Васильковый от 20.02.2025 (Попова Инкорпорэйтед),3
Уплата транспортного налога 51374 от 18.01.2025 (НПО «Ситников-Ширяева»),3
